Low_income,Conflicts
6.45,0
5.8,0
7.32,0
4.5,0
6.45,0
4.6,0
6.45,0
8.053333333,0
6.45,0
6.45,0
7.8,0
4.58,0
4.58,0
5.8,0
9.9,0
6.825,0
7,0
6.45,0
6.45,0
6.45,0
6.45,0
10.2,0
6.45,0
6.1,0
6.45,0
6.825,0
4.58,0
3.6,0
4.8,0
5.4,0
7.9,0
6.2,0
7.32,0
6.45,0
5.8,0
6.45,0
9.85,0
4.58,0
6.45,0
6.45,0
9.9,0
9.85,0
4.6125,0
5.8,0
6.45,0
6.45,1
3.4,1
6.45,1
6.45,2
5.8,2
6.2,2
6.45,3
4.58,3
4.6125,3
6.9,3
6.45,3
3.1,5
5.8,5
8.65,7
9.1,9
6.45,9
9.1,10
6.45,10
6.45,10
3.8,11
6.5,12
6.45,12
5,13
7.9,16
6.45,17
5.8,21
6.45,22
7.1,27
6.45,40
5.2,41
6.45,60
6.825,64
6.45,68
6.45,76
4,77
5.4,99
6.45,102
6.45,106
6.45,111
5.8,118
5.8,155
6.2,182
7.1,192
7.2,224
6.45,276
5.8,394
9.1,625
9.1,676
9.1,1016
9.1,1118